H4,L4,L3,L3,L4,H2,L3
H4,L2,L2,L3,H2,SA,L4
H3,L4,SB,L3,L1,L1,L3
L2,SA,L3,SB,L2,L2,L3
H3,L3,H3,L1,L2,H1,SB
L2,SB,L4,H4,L3,L2,H4
L2,SA,L4,H4,SB,L3,L3
L4,L3,L3,L4,L2,L3,H2
L1,SB,L3,SA,L1,L2,L1
SB,H3,H4,L4,L2,L4,H4
SB,L1,H4,L4,H1,H4,H1
L4,L2,L2,L4,L1,H4,L1
L4,L2,L2,L4,H4,L2,L1
SA,L2,L3,H1,H4,L1,L4
H3,L2,H2,L1,SB,H3,H3
H2,L3,L3,L2,L4,H4,L1
L4,L4,H3,L4,H3,SA,L3
L2,SB,L1,L3,H2,L3,L1
SB,H4,L4,L4,L4,H3,L4
H2,L3,L3,L1,L3,L3,H3
L2,L2,H4,H3,SA,L1,L1
L4,L1,H2,H2,L1,L1,H4
H4,L4,H3,L1,L3,SB,L4
L4,H4,L4,SA,L4,L4,L3
SA,L3,SA,L3,SB,SB,H3
L4,L3,L1,H4,H3,SA,L4
H3,H1,L4,L3,SA,L2,L4
L1,H4,L3,L3,H4,H4,L2
L2,L1,H4,H3,L3,L4,L1
H3,L1,L4,H1,L4,H2,L2
L4,L1,L4,SB,L1,L4,L1
L3,H3,H4,L2,H2,L1,L1
H4,L1,L4,L4,SB,H4,H4
H4,SB,L1,L2,SB,SA,L3
L1,L3,SB,SA,H4,H3,H3
SA,SA,L2,L4,L2,L4,L1
L1,L1,L3,L1,H4,L2,L2
H4,L4,SB,L1,L4,SA,L4
SA,H4,L3,SA,L1,H4,L3
H4,L2,L3,L3,L3,L3,L4
L4,L2,L1,L1,L2,L1,L1
L1,L1,H3,SA,SB,SA,L3
L1,H4,L4,L2,SA,L4,L3
H4,H3,L4,SA,L4,SA,SA
H4,H2,L2,L1,H3,SA,L1
L4,SB,L3,H4,L3,H2,H3
L3,SB,L4,L1,H3,SA,H3
H2,SB,L2,L1,L3,L2,L3
L3,L1,L3,SA,L4,L4,H4
H2,H2,H3,SB,L4,L1,L3
H1,L4,SB,L2,H3,H1,L2
SA,L4,L3,L2,L4,L3,L4
L3,L1,L3,SB,H2,L3,L1
L4,SA,L3,L2,H4,L4,H3
L4,L2,L2,H2,L4,SA,L2
L2,L3,SA,L4,L4,H2,L3
H4,H4,H1,L1,H2,H2,L2
SA,H4,SA,L2,L4,H4,SB
H3,SA,H3,L4,H4,H1,L3
L2,L1,L2,L1,L4,H4,L4
SB,L1,L3,H4,SA,L4,H3
SB,H1,SA,L2,L3,L4,L3
L4,L3,L1,L3,L4,L4,L4
L4,L1,SB,H3,SA,L3,L1
H4,L3,L3,H4,H4,H3,H2
SB,H3,L4,L4,L2,L2,L4
SB,H4,H2,H3,L4,SB,L4
L2,H3,L2,L4,SB,L3,H3
L3,L4,L3,L4,H3,L4,L4
SA,L2,L1,SB,L1,SA,H1
L2,L4,H4,L2,L4,SA,H3
L2,H4,L2,H1,L1,H4,L1
H4,L4,L4,L2,L3,H2,H3
L1,L4,L4,SA,L4,H1,L3
SB,H3,SA,L3,L3,SB,L3
H3,H3,L2,L1,H3,SB,L3
L3,SA,L2,L3,L4,H1,H1
H3,H3,L4,L3,L3,H1,SB
H3,H4,H2,L4,L3,SA,L4
SB,L2,H1,SA,SB,L4,L2
H3,L2,H4,H2,SB,L2,L4
L2,H1,H3,H4,L3,H3,L2
H2,L2,SA,H4,H2,L1,L1
L4,H2,L3,SA,L2,L2,H3
L2,SA,SA,SA,SB,H3,SA
H4,SA,L1,H4,L1,L1,L3
H1,L4,L1,H1,L4,SA,H4
L2,L3,L3,H4,L2,H4,H2
L4,L3,SA,L4,L3,H4,SA
H3,L4,L4,SB,SA,L3,L3
L3,SA,SB,H3,L1,SB,L1
SB,L2,L4,SB,SA,H3,L3
L1,L4,SA,L4,L2,L3,SA
L2,H4,L3,H3,L2,L4,L1
SB,H4,L4,SB,L4,H1,H2
SA,SB,H4,L3,H4,SB,L2
H4,L4,H4,L3,SB,H3,L3
L1,H4,L1,H2,L1,L4,H2
L4,L1,L2,L4,H3,L1,SA
H3,L3,SB,SB,H4,SB,L3
L3,L1,L3,H3,H3,L3,L3
H4,H4,SB,L3,L3,L3,SA
H3,H1,SA,SA,H3,L1,L2
L1,H3,L4,SA,H3,L3,L4
L2,SB,H3,H4,L4,L2,SB
L3,L3,H1,H4,L3,L3,H4
L2,L3,L2,L3,H2,L4,L1
H4,SA,H3,L1,L4,H4,L4
H4,SA,L2,H3,L3,L3,L2
H3,L2,L4,L3,L3,SA,L3
L3,L1,L4,L1,H1,L4,SB
L1,L3,L1,H1,H1,L3,H2
L2,L4,H3,SB,L3,SA,H4
H3,L3,H1,H3,H2,H2,SB
SB,L1,SB,L3,SA,L4,H4
L4,L1,H4,L1,H4,L3,L3
SA,H3,SA,L4,L3,H4,L2
H4,SA,H2,L1,SA,L4,H4
L2,L1,L1,L1,SA,SB,L1
L3,L4,H4,L3,L2,H1,L1
H2,H3,L1,H2,L2,L1,SA
L4,L4,L1,L1,L1,L2,L3
L3,H2,SA,L3,L4,H2,H2
L4,H2,H1,L3,L1,SB,L2
H2,L1,L4,L1,L3,H4,L1
L4,L3,L2,SA,SA,SB,L3
H2,L4,L2,L4,H1,L2,SB
H3,H2,H3,L2,L2,L4,SB
L4,H4,H4,H4,H3,H2,L4
L3,L3,H1,L3,L3,L3,L2
SA,H3,L1,L3,SA,SA,L1
L4,H4,H3,L2,L2,H3,L1
L2,L2,SB,H2,SA,L3,L3
L2,H1,L1,L4,L4,H3,L3
L4,SB,SB,H2,L3,H3,H4
SA,H4,H4,L4,L3,L2,SA
H2,H4,L2,H2,L3,H1,L1
H4,L4,L3,SA,L3,L3,SA
L4,SA,L3,SA,L4,SB,H3
H3,SB,H1,L1,L4,L4,L1
H1,H3,H3,L3,L2,L3,L3
L3,H1,L1,L3,H4,H3,L4
L3,L4,L3,L4,L1,L1,L2
SA,L2,H2,L2,H4,SB,L4
H4,H4,L3,L4,H3,L2,L3
L3,L4,H4,H4,H1,H3,L4
L2,L2,H1,L3,L4,H4,L3
SA,L3,L4,SA,L4,L2,L3
L3,H3,L2,SA,L4,L4,SA
H1,H3,L1,H4,SB,L2,L1
L3,H1,H2,H3,L4,L3,SB
L1,L1,L1,H4,L3,H1,H4
SA,L1,L1,L4,L1,L3,L4
SB,H4,L4,L1,SA,H4,H4
SA,H4,L4,H4,H3,H4,L2
SB,L4,SA,SA,H3,L3,L2
H3,L4,SB,SB,H2,H4,H3
L2,L1,H3,L4,H3,SB,L4
H1,L3,H2,L4,H3,L4,H1
SB,L3,L3,SB,L4,SA,L2
H3,L3,H3,SB,SB,H2,L2
L1,L2,L2,SA,L2,L2,L4
L2,L1,SB,SA,L2,L1,L2
H4,L3,H4,SA,SA,H3,L3
L1,SB,SA,SA,L2,L2,SB
L1,L4,L4,H2,L1,SB,SB
SB,L4,L2,L4,L4,L4,SA
L3,L4,SB,L4,SB,L4,H1
L4,L3,L3,L1,L4,L3,L4
L4,H1,L4,H3,SA,SA,L4
L1,L4,L2,L3,SA,L3,H4
L1,L1,H2,H4,SB,H3,L4
L3,L2,H4,H3,L1,L1,H1
L4,L2,L2,L1,L2,H4,L1
L4,L4,L3,L4,L1,L1,L4
L2,L3,H4,L2,H3,L1,SA
L3,H3,H1,L2,SA,L4,L2
L3,L3,SA,L2,L4,L2,H3
H4,H3,L2,L3,L3,H4,L1
H4,H4,L2,L2,H2,SB,L3
H1,L3,L4,L3,H4,SA,L1
L4,H1,L1,L1,L4,SB,L3
L3,H2,L1,SB,H3,L3,L3
L4,H4,SA,L3,L4,H3,L2
L4,H1,L4,L2,H1,L2,H3
H3,H3,H3,L3,L1,H4,L1
L1,L2,L1,L1,L3,L4,SA
SB,H3,L1,L2,H3,L4,L1
H4,SA,SA,SA,L1,SA,SB
L3,H3,L1,H3,H3,L4,H1
SA,SB,H4,L2,L4,L3,H4
L2,SB,H3,L2,H4,L4,H4
L3,L1,H2,L2,H2,L4,L2
H2,H4,L4,L4,H1,L4,L3
L4,SA,L2,H2,SA,L1,H2
H3,L1,H4,SA,L1,SB,L2
SA,SB,H2,L4,H2,L2,H2
L4,SA,L1,L2,H4,L3,H4
SB,H2,L3,H3,SB,L3,L3
L2,L3,H3,H2,L4,L2,L1
SB,L1,H3,SB,SB,SA,L3
L3,H4,SB,H4,L1,L1,L3
SA,L4,L4,SA,L1,H4,H3
H3,H3,L1,SB,H4,L2,H4
H3,L1,SA,L2,H4,L4,H4
H3,H1,L1,L4,H2,L1,L2
L4,H2,L1,H3,H2,L3,SA
SA,L1,L2,H1,L4,L2,H4
L2,H2,H1,SA,L4,SB,L1
H2,L2,L4,H3,SB,L4,SA
H1,SB,L1,L3,L3,H1,H2
SA,H2,L1,SB,L4,H2,SB
L2,L4,H1,H4,SA,SA,H3
L3,H4,L3,H4,H4,H1,L1
L4,SB,L3,H3,L2,SA,SB
L4,H4,L1,L3,L2,H1,L1
L3,L4,L3,L2,L4,L4,H2
H4,L1,L2,SA,H4,L1,L4
L2,L1,L4,SB,H1,L3,L1
L3,L3,H1,L1,L1,L2,L4
L2,L2,L2,H4,SA,L3,L1
H4,H2,L4,L3,L3,L3,SA
SA,L4,H4,L3,L4,L1,L3
L4,L3,L3,L4,L4,SB,SB
H4,L3,H2,L4,L3,L1,L3
L2,L4,L3,L2,L3,H3,L4
H3,H3,H3,SB,SA,L2,L3
L4,SA,L3,L4,L3,L3,H2
H4,L2,H4,H4,H3,L2,L4
L4,SA,H3,L2,L3,SA,L2
L4,L3,H3,L2,L4,H3,H3
L3,L4,L2,L3,L3,SB,SA
L4,L4,L2,L2,H1,L4,L4
L3,L3,L3,L3,H3,L2,L4
SA,L3,L3,H3,SB,H1,L2
L3,SA,H4,L3,SB,SA,H2
H3,H1,H4,L2,L1,H2,H4
L1,L2,L3,H4,SB,SB,H3
H4,SA,SA,L4,L4,L1,L3
L2,L4,L1,L3,H3,L1,H1
L3,L4,H1,L2,L3,L4,SA
L3,L4,L2,L4,SA,H3,L3
H4,H4,L4,H3,SA,SA,L3
L2,H4,H2,H4,SB,L4,H4
H2,H1,L4,SA,L4,L3,SA
L2,L4,SA,H4,L2,L4,H2
SA,L3,L2,L4,L4,L4,L1
H1,L4,L4,L2,L3,L4,L3
H4,H2,H4,L4,L1,L4,SB
L2,H2,L2,H2,H1,L3,H2
L1,H3,L4,L4,L1,SA,L4
L2,L4,SA,L4,H3,L2,H2
L4,L2,SA,H4,H2,L1,L3
SB,SB,H3,H4,SB,L4,L1
L3,L4,H1,L2,SA,L3,L1
H4,H2,L3,H4,L3,L4,H4
H2,L1,L1,H4,L3,L3,H4
L4,H2,L4,SB,SB,SB,L2
L3,L2,L4,L3,L2,L2,H3
L4,SA,H1,SA,H4,SB,L3
L1,SB,H2,SB,L3,L1,SA
H1,L3,H2,L4,L3,H4,L2
H3,H4,H2,H2,L3,L2,L4
H3,L1,SA,H4,L2,L2,L4
SA,SB,L2,L2,H3,L4,L1
SA,SB,L4,H1,L3,SA,SB
L3,SB,SB,SB,L3,L2,L3
H3,L3,L4,L4,L4,SA,L3
L4,SB,H3,SB,SA,H4,L4
L1,H4,H4,H1,L3,SB,L4
H4,L4,SA,L2,H3,L2,L3
L2,L3,H4,L4,L3,L4,L4
H2,H2,L3,L3,L4,L3,H3
H4,L3,L3,L1,SB,L2,L3
L4,L4,SB,SB,H4,L4,SB
H1,SB,H1,L1,L1,H2,L4
L2,H2,H2,H3,H1,L4,L3
H3,L3,H4,L1,L3,L3,H4
H1,H4,L2,H2,H1,H2,L1
L4,H4,H1,L4,L3,H3,L2
H2,L1,SA,SB,L4,L2,L1
L1,L2,L4,L4,H3,L1,H4
H4,H2,L3,L2,L2,L1,H3
SA,L4,H3,L4,L2,H1,SB
L3,SA,L3,L4,L1,H4,H2
L3,H2,L4,SB,L2,H4,SB
SA,L4,SB,L3,L3,H4,L4
L2,L4,L2,L2,L4,L1,L3
SB,SB,L2,H4,L3,L3,L4
H1,L4,L3,H3,L3,L3,SB
H2,L3,SB,H2,H2,L2,SB
SA,H4,L1,H2,L3,L1,H4
L2,H4,H4,L3,H3,L3,L2
L3,SB,L1,H1,L4,L3,SB
H4,H4,L3,SB,H3,L4,L4
L4,L2,L1,SB,L1,L4,L4
L4,SB,H3,L4,L4,L1,L2
L1,SA,L2,L4,L4,SB,H4
H4,SA,H4,H1,L1,H3,H2
L3,L3,SA,SB,L1,L3,L3
H4,L4,SB,H4,SA,H3,H4
L4,H2,H4,H3,H4,L4,L3
H4,SB,H2,H4,L2,L1,L4
SA,SA,L2,L1,L2,H3,H1
L3,L1,H4,L2,L4,SB,H3
L2,L1,L1,H3,H1,L1,SB
L4,H3,H2,H3,SA,SB,H4
L1,L2,L4,L2,L1,L3,SB
H4,L1,L4,SA,H3,L1,SB
L4,SA,L4,L4,L3,SA,L3
L4,L3,L1,L4,L1,SB,SA
H1,H4,L4,H3,H2,H3,SA
L1,L3,H4,L2,H4,SA,L1
L2,L2,H3,SB,L4,H4,SA
L4,L3,L2,SA,H4,H2,SB
L4,H2,L1,SB,SB,H2,L4
H3,L4,L1,H1,L1,L1,H2
L2,H2,L2,SA,H2,L2,L1
L1,H4,SB,L3,L4,L2,SA
H4,H1,L3,L4,L2,H4,L2
L1,SA,L3,L2,L2,H2,H2
SB,H4,L4,L4,H3,L3,L2
L4,H3,L4,H3,SB,L1,L4
H3,L3,SB,L1,L3,L4,L1
H4,L4,L4,SB,L2,H4,L3
L3,L2,H1,L1,L3,SB,H3
L1,L2,L1,L4,H3,L4,H4
SA,L4,L4,L4,L3,L3,L1
H2,SB,L2,L2,SA,L2,H4
L1,L2,L3,L3,L2,L4,L2
H4,H1,L2,L3,SB,L2,H3
L4,L4,L4,L1,H2,H2,SB
L4,L4,H3,L2,SA,L1,H4
H4,H2,L3,H4,L3,L2,L4
SA,L1,L2,L4,L2,L2,L1
H4,L3,SA,H2,L1,SB,L4
L4,SA,H2,L4,L3,SA,L4
L4,H2,SA,H1,L4,SB,H4
H1,SA,SA,L4,SB,L1,L1
L4,L2,H2,L4,L4,L4,L4
L2,L4,L4,H3,H4,L3,L3
L3,L2,H4,SB,L4,L3,H3
L3,H1,L4,H3,H4,L4,H2
L4,L1,L3,H4,L4,H3,L2
SB,L4,L3,SA,H4,H1,H4
SB,H4,SA,L3,H2,L3,L1
SB,H4,SA,H4,H4,L3,SB
L1,L2,L4,SA,L1,H2,L2
H4,L4,H4,L4,L1,H4,SA
SB,L2,H2,L4,H3,H4,H3
SB,L3,SB,SB,L4,L3,H4
SA,L1,L1,L3,L4,SB,L2
L2,H3,L4,SB,L3,L4,L4
L3,L4,SA,L3,SA,L3,SA
L4,L1,L1,L3,L3,L4,H3
SA,L4,H4,H4,SA,L4,H1
L2,L1,L4,H3,L2,H2,H3
H4,H4,L3,H3,SB,SA,L4
L1,L4,SA,L1,L2,L2,H2
L2,L4,L2,H3,L3,L3,L3
L4,L4,SB,H4,L1,L1,L2
H4,L2,L1,H2,L2,L4,H3
SA,L4,H4,SA,L3,H1,L4
L3,L2,L4,L2,L3,H3,SB
L4,L4,L1,H4,L4,H2,SA
L3,L4,L2,L1,L1,L2,H4
L4,L3,SA,SA,SB,L3,L2
L2,L1,L4,H4,L3,L3,SA
H4,L3,L1,L3,L2,L3,L2
L4,SA,SB,L4,L3,L2,L3
L2,SB,H4,H4,L2,L4,H2
L3,SA,SA,H4,H3,L4,H2
H2,SA,L4,L1,H2,SA,L2
H2,SB,L3,H3,SB,SB,H3
L4,L3,SB,L3,L3,H2,SA
H4,H2,L2,H1,L1,L3,L4
L1,SB,H4,H1,L2,SA,L1
SB,L3,H4,L2,L2,L4,H3
L1,L4,L4,H2,L4,H3,H2
H2,L3,L4,L3,L3,L2,H2
H1,H3,L4,H2,L4,L1,SA
L4,H3,SB,H4,L1,H4,L4
L4,L3,H2,L2,L4,SB,L2
SA,L4,L3,L4,L1,L4,H3
H2,L2,L3,H4,L2,H1,L4
H2,H1,L4,L3,H1,L2,L4
L4,L3,L2,L4,L2,L2,L1
L3,SB,L1,L4,L1,L1,L4
H2,L2,H3,H4,H1,L1,L4
L3,L1,L2,L1,H3,L2,H2
L2,SA,L3,L3,L2,H3,L1
L4,L2,H4,L1,L1,L4,L2
L2,L3,L3,SA,L2,L2,L2
H4,L2,SA,L4,H2,SA,H4
SA,L4,L3,L4,L1,H2,L3
H2,L2,SB,L1,H4,L3,H3
L4,L3,L3,L2,L4,L3,L4
L4,L3,L4,L1,SB,L2,H1
L3,H4,L1,L1,L3,L2,L1
L4,L4,L3,H1,L1,L2,L4
L3,L3,L3,L2,SB,L2,H3
L3,H4,SA,L3,L4,H2,L2
L2,L3,SB,H2,H4,L2,L2
L2,H2,H4,L1,H4,L3,H2
SB,SB,L4,L3,L3,L4,L3
H4,H2,H3,L4,L2,SB,L3
L3,L1,L2,L2,SA,L3,L1
L3,SB,L3,H1,L1,L4,L3
L1,L1,L3,L2,SB,L2,L2
H4,H4,L3,SA,H4,L1,SA
L1,L4,L3,L4,L2,SB,L3
L3,L3,L2,L4,L4,H2,SA
L4,L2,H3,H2,L2,L4,L2
SB,L4,L3,SB,L3,L3,L4
L3,L3,L3,SA,L3,H2,H2
L2,L4,SA,SB,L4,L3,H4
L3,H1,H2,SB,L3,L1,H1
L2,L4,L3,L2,L1,L2,H1
SA,L3,SB,H4,L3,H4,L3
L3,L1,L4,L4,L1,H3,H3
L2,L3,L3,H4,L2,SA,H1
L1,L4,L1,L4,H4,SA,L4
L1,H3,L4,L1,SB,H2,SB
L2,H4,L2,SB,H2,H1,H4
H1,L4,H3,L2,L2,L2,L2
L4,L4,H3,L1,L3,L4,H1
SB,H3,L1,SB,L2,L3,H4
SA,SB,L4,H3,SA,H4,L4
L4,H2,H1,L4,H1,L3,L3
L2,L2,L4,L4,L1,L2,L2
SA,L1,L4,L4,L3,L2,SA
H2,L3,H2,SB,SA,H2,L4
L2,L4,L3,H4,L4,H3,H1
L4,H2,L2,H4,H4,L3,L1
H4,L2,SB,SB,L2,H3,L4
L1,L2,L1,SB,H3,L1,L4
L3,L1,L1,H1,SA,L2,L3
L2,H4,L2,L3,H3,L2,L3
L3,L3,H3,L4,L4,L2,L4
H3,L2,SB,L1,L2,H4,L3
L2,L2,L4,H2,L1,L4,L1
L1,H2,L1,L3,H4,H2,L4
L2,H3,L4,H4,L2,H2,H4
SA,H4,H1,L2,H4,SB,L1
L3,L4,L3,SA,L3,L4,H3
SB,L4,L3,H3,L3,H2,L1
H3,L4,H1,L4,L1,H4,SB
L4,SB,L3,L3,L4,SB,H4
L2,SA,L4,L2,SB,L4,SB
L2,L4,H3,L4,L2,H2,H2
SA,H3,L4,L4,L4,SB,L3
SB,SA,L4,H2,L4,L2,H3
L4,L4,H4,L2,SA,H2,L4
L2,L2,L4,SB,SB,L3,H4
L3,H4,SB,L1,H4,SA,H4
L3,L4,L4,L2,L4,L1,L2
L3,SA,L2,L3,H4,L4,L4
L2,L1,L2,L1,L4,H4,H4
L2,L4,H2,SA,H4,L3,L3
L1,SB,L3,H1,L3,SB,SB
L2,L4,H3,SB,H2,L4,SA
L3,L4,L3,SA,H1,H4,L2
H3,L2,H3,L3,H4,SB,L2
H1,L4,L1,L2,H2,L3,H2
H3,L2,L2,H2,H1,L3,L1
SA,L3,L4,L2,H3,L2,SA
SB,L2,L1,H2,SB,L3,L3
H2,L1,H1,L4,L4,H4,SB
L2,H2,L1,L1,H4,L2,SA
L4,L3,H2,H2,H1,L3,L2
SA,L1,L2,L4,SB,H1,H2
L4,L2,L4,H4,H2,H4,H4
H2,L3,SB,SB,L1,H4,L1
L3,L4,L2,H3,L3,L3,SB
L4,L3,L4,SB,L4,H4,SB
H4,L3,H1,SB,H2,L4,SB
L2,L3,L4,L3,L1,SA,L4
SB,L4,SA,L4,L4,L4,L3
SA,L3,L3,L4,H3,L3,H1
L2,H4,L4,L2,L3,L1,L4
L3,L1,L3,SA,L3,L2,L4
L2,L4,L1,H2,L3,SA,SA
H2,H4,L3,H2,H4,H4,SB
H3,SA,H2,L1,SA,H2,L1
H4,L3,L1,L1,L4,L4,H4
L1,H2,H3,H3,H2,L1,H2
L2,L1,SA,H4,H4,L3,L4
L2,L2,L4,H4,SB,H1,L4
L4,L4,SB,H2,L4,H3,H4
SA,L2,L2,L4,SB,L3,L3
L4,L3,L2,H4,H3,H4,L4
SB,L1,L1,L4,L2,L4,L3
L4,L3,L2,L3,H4,H4,L3
H3,H3,H2,L1,L2,L4,L3
H4,L4,L3,H4,SA,L1,L2
H4,L4,H3,L2,L4,H3,L4
L4,SA,L3,H1,H4,H2,L3
L2,L1,SB,L1,L3,L1,L1
L3,L2,H3,SA,L4,L3,L2
L4,H3,L3,L4,SB,L3,H4
L4,L1,L2,L2,L2,SB,L3
L3,L3,H1,L3,SB,H4,H1
L1,L4,H4,H2,L2,H3,H3
H3,L1,H4,H4,L3,SB,SA
L2,SA,L4,H2,L2,H4,H2
L4,L3,L3,L3,SA,L1,L4
L3,SB,L3,L1,H2,H4,L1
H3,H3,H2,L2,H1,L1,L4
L1,L1,L4,L2,L3,SB,SB
L1,L4,SA,L3,SA,L4,L2
SB,SA,L4,H3,L4,L3,SB
L2,SB,L1,L3,L3,L2,L1
SB,L2,H3,L4,L3,SA,H4
L1,H1,SA,L3,H4,L4,SB
H3,H3,SB,L1,H4,H4,L2
L2,SB,L3,L4,H3,H3,SB
SA,L3,H4,L2,L1,H1,L2
H1,H3,H4,L3,H3,H4,H4
L2,SA,SB,L2,H2,H4,H3
SA,L2,L2,H4,SB,H4,L1
L1,L4,L1,L3,L4,SA,SB
L4,L3,L1,L4,L4,L2,L4
H4,L1,SB,L3,SA,L3,L1
L3,L3,H3,L1,SB,L4,H4
L1,H1,H2,SA,L1,L3,L4
H4,L3,L4,H4,SB,L2,H4
H3,H4,H3,H4,L3,SB,SA
H4,H4,L3,SB,H3,L3,L2
H4,SB,H3,L3,L2,SB,L3
L2,L3,SB,H3,H4,SA,L4
SA,L2,SB,H2,L3,L2,L2
L4,SB,L4,H3,H2,L2,L2
SA,L1,L4,L3,L4,L4,L1
H2,H2,SA,SA,L3,L4,L4
L2,H3,L2,H4,H2,L3,SA
SA,H4,L1,L3,H3,H2,SA
SB,L4,L2,H3,L4,L4,SB
L3,H3,L2,L3,SB,H3,SA
L4,L4,H3,SB,H4,L4,SB
H2,H4,L3,L3,H4,H3,SB
L3,L1,H4,L4,H3,H1,L4
H4,L3,L4,H3,L2,L2,SB
L1,H3,H2,L2,H4,SB,H4
L4,H3,L3,H4,H3,L2,H3
L1,L2,H3,H1,SA,SA,L1
SB,SA,L1,H4,L1,H2,L4
SB,L4,L2,L4,SA,L2,H4
L2,L3,SB,L4,L2,SA,L4
L2,H2,L2,H1,L4,SA,L1
L4,L3,SB,L1,H4,L1,SA
H2,L1,L4,L2,SA,L1,L4
L2,L2,H1,SB,L3,L3,L3
H3,H4,H2,L4,H2,L3,L3
L3,H4,L1,SA,L4,L4,L4
L4,SA,L4,H2,L2,L3,L3
SB,L1,H4,H4,L3,L4,H1
H3,L3,L4,L3,L1,L4,L4
H2,L3,L4,L1,H4,H2,H3
L4,L1,H2,H1,L2,L4,H4
L3,SB,L3,H4,H4,L3,L3
L4,SA,SB,SA,H3,H4,L4
L3,L3,H2,L3,L3,SA,H1
H2,SB,SA,L4,L2,L1,SA
H3,SB,L3,L1,L4,L1,L4
SA,L3,L4,L2,H1,L3,L2
L3,L1,L2,H3,L2,SA,L1
L1,L4,H4,H1,H2,H3,L1
H3,L3,L2,H4,L3,L2,H3
H4,L4,L1,SA,SA,H4,SB
L3,L4,L4,L1,L2,H4,L3
L3,L3,L2,L3,L2,L3,L3
L4,H4,H1,L1,L1,H2,H4
L3,H1,H2,L1,L4,SB,SB
H4,L4,L2,L4,SA,L3,SB
H3,H4,L3,L2,L2,L3,L4
L3,L1,L1,H1,L4,H3,SA
L4,H1,H4,L4,L4,SB,SA
H1,L2,L2,SB,L2,L2,L1
H3,L2,L4,SB,SB,L3,L1
L1,L1,SB,L3,SA,H4,SA
H3,SA,L1,L2,SA,SB,H4
SA,SA,SA,SA,H3,H4,H2
H4,L3,H3,L3,H4,L1,L2
SB,SB,SA,L2,L2,L3,H2
L2,L1,SB,H3,SB,L4,L4
L1,H1,L2,H1,L1,L3,H1
L3,L3,H4,H1,H2,L1,L2
L1,L4,L1,L4,L4,L1,H3
L1,H3,H4,L3,L4,L4,L4
H4,L2,SB,SA,SA,H3,H4
H4,H3,H4,H3,L4,L3,SB
L1,H3,L2,H1,L1,L4,L2
L4,L1,L4,L1,L2,H2,SA
L3,SB,L2,L3,L1,H3,L4
L4,H3,L3,L2,L2,L4,SB
H1,H2,SB,L4,L1,L1,H4
L1,L1,H4,L1,H4,L4,L1
L4,SB,H4,L1,L4,L4,SB
H3,L2,SA,L4,SB,H4,H3
H2,L4,L4,L4,H3,H4,H3
L2,H2,H3,SA,SB,L4,L3
L4,L4,L2,H4,L3,L4,L2
L4,H4,L4,L3,L1,SA,H3
L3,H2,SA,L1,H2,L1,H3
H2,L1,L3,SB,L2,L2,L3
L1,SB,H1,L4,L4,SB,L3
H1,L2,H3,L3,H1,H4,SB
H3,L1,SB,H4,SA,L1,L4
L3,L3,H3,L2,H3,L4,H3
L2,L3,L4,L1,L2,H1,H2
L2,SB,SB,L3,L3,L4,L1
SB,H3,H3,SB,L2,L4,L4
